Search_uid,Search_query,region,brand,group,Search_result,Search_uid_sales,Sale
00008ab16a154e15f575f57d7526d837,NSF9072,1,31,12,1,0,0.0
0002e9b999ccd2a282e173d629ebc389,GDB1763,0,4,50,1,0002e9b999ccd2a282e173d629ebc389,1.0
0003db5d6056318ad54374c63015a252,1 987 946 000,1,160,14,1,0003db5d6056318ad54374c63015a252,1.0
0007fc1602bc65fee6df1413c57e8215,25869 01,1,141,59,1,0,0.0
000dabfea5b724bbf8ababf3d6d9617f,PFG110,0,4,126,1,0,0.0
000e12148615417c77c73469ecf435f6,DF6015S,0,4,4,1,0,0.0
000e41db76ba1b79b98439c115715ff0,9031672001,1,460,19,0,0,0.0
000f889f72d7a4501dfc05264df684b3,3340046,1,31,12,1,0,0.0
0010fbe8f87279074bb70a535be9b118,713007600,0,130,21,1,0,0.0
0011ef379b8a394098a97d2e1634c134,VKBA3643,0,148,19,0,0011ef379b8a394098a97d2e1634c134,1.0
00126e509da0e1d76700adfcb448639c,343413,0,31,12,1,0,0.0
001a4a2de096c83da362a2561c21af91,PFG110,0,4,126,1,001a4a2de096c83da362a2561c21af91,1.0
0021002dc7f43d8e26fb523708047e25,C8169,1,499,31,1,0,0.0
0023c29e3eee1ff41bf47105af8c115a,LA-228,1,499,40,1,0,0.0
00247a7fe6d28a1b57f8a088d0ed95c4,BKR6EKUC,1,30,97,1,0,0.0
00262f7ae42b95370452ee5544962391,DF4493,1,4,4,1,0,0.0
00267edc086798de571de83683f95d3f,CVT-21,1,369,27,0,0,0.0
002c9301e62c4cf88db4de52a9d7c455,4632122731,1,310,11,0,0,0.0
0031dc4ac3e3bdf5acfd9522cf658959,64210,1,224,6,1,0,0.0
0032b50dee70b1ff4119c90cbea61a98,445033,1,31,12,1,0,0.0
0034a525227d50dd247fa32b3aa42cd2,35028 01,0,141,27,1,0,0.0
00350b7dbf043bb2fa678dc4220bb34e,CQM-20L,0,369,29,0,0,0.0
003698697c1390676588b7e378f0bd1d,GDB1843,0,4,50,1,0,0.0
00390021dfb45fce6e60698f506c785f,334333,1,31,12,1,0,0.0
003a91ab47823bc17ad7a99913412d6f,C4064L,0,499,48,1,0,0.0
003b1d507c7a4db778227d6654325178,L14605,1,499,66,1,0,0.0
003bb0582751482def24a678458197eb,G12824LR,1,499,12,0,0,0.0
004582fb2a33095b0cd5da4209678a5c,WB-1241,0,499,18,1,0,0.0
004748545bdd488b43a4b68192ed5cdb,4062068,0,168,51,1,0,0.0
004a04a9df4972652804dab82111870b,90389-19002,1,301,31,0,0,0.0
004bc27f7c8ae7c7a8a0a6f78929534c,LAC-112,1,499,55,1,0,0.0
004c376c6f98ac421539461703534098,18903,0,124,94,1,0,0.0
004e6193993dc99388fd64681223edc9,341463,1,31,12,1,0,0.0
004fe8ccb268ff6ebf405bf60b01f8ce,PFG110,0,4,126,1,0,0.0
00505d692392e3fd4ccc69eee0302c86,KC100D,0,29,47,1,0,0.0
0052b9b131936e855c9e84255b38a983,248081,1,179,57,0,0,0.0
0052ddbf16343ac599a272310af47199,C4T-52341,1,625,51,1,0,0.0
0052e440955c9d4148dd1ca84036e5c9,DF4964,0,4,4,1,0,0.0
005419caa38af05b93ee9cadff7def20,2825,1,224,66,1,005419caa38af05b93ee9cadff7def20,1.0
005658050808145fc03173602df7cf55,348032,1,31,12,1,0,0.0
005919744ffd26ec444b146abde5abcb,C7474LR,1,499,26,1,0,0.0
005c02ee4f5fad5a814a055269aea893,C8751,0,499,27,1,0,0.0
0066122cb8f928b93d80298ae036bb47,BD-7533,1,499,50,1,0066122cb8f928b93d80298ae036bb47,1.0
006abc8b19633d996a15e56e0cf7ea20,334464,1,31,12,1,006abc8b19633d996a15e56e0cf7ea20,1.0
