,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,402,2536,Амортизаторы подвески,11,76,Пружины и рессоры,7,21,Опора стойки / подшипник подвески,6,9,Пыльники + отбойники амортизатора,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107,413,Сайлентблоки,27,145,Амортизаторы подвески,26,92,Опоры шаровые,42,75,Фильтр воздушный,23,85,Колодки тормозные дисковые,27,64,Стойки стабилизатора,45,46,Головной свет,30,44,Втулки,22,44,Наконечники рулевые,6,52,ШРУСы внешние,0
2,97,130,Стойки стабилизатора,32,119,Опоры шаровые,33,70,Наконечники рулевые,31,52,Сайлентблоки,20,61,Тяги рулевые,13,41,Рычаги,12,38,Втулки,0,2,Крепление глушителя,0,2,Детали рулевого управления (остальное),0,0,0,0
3,95,258,Сайлентблоки,18,46,Подушки двигателя,23,33,Втулки,7,33,Опора стойки / подшипник подвески,5,14,Пыльники + отбойники амортизатора,7,8,РТИ пыльники привода,3,11,Детали тормозной системы (остальное),2,7,Стойки стабилизатора,1,1,Крепление глушителя,0,2,РТИ подушки трансмиссии,0
4,24,89,Диски тормозные,24,75,Колодки тормозные дисковые,3,16,Опоры шаровые,0,15,Рычаги,0,14,Амортизаторы подвески,4,10,Цилиндры тормозной системы,3,10,Сигнализатор износа,1,12,Тяги рулевые,1,12,Сайлентблоки,4,9,Шланги тормозные,0
5,73,139,Свечи зажигания стандартные,11,38,Свечи зажигания платина / иридий,7,21,Датчики кислорода (лямбда-зонд),3,16,Щетки стеклоочистителя бескаркасные,1,6,Радиаторы охлаждения,0,3,Фильтр салонный стандарт,1,1,Генератор,0,2,Насосы топливные,0,2,Щетки стеклоочистителя летние,0,1,Свечи накала,0
6,2,34,Датчики кислорода (лямбда-зонд),12,20,Колодки тормозные дисковые,4,24,Свечи зажигания стандартные,2,17,Диски тормозные,6,13,Фильтр масляный металлический,4,9,Насосы топливные,3,10,Датчики двигателя,1,9,Ремни поликлиновые,5,4,Щетки стеклоочистителя летние,0,8,Датчики топливной системы,0
7,9,53,Комплект ремня ГРМ,16,43,Ремень ГРМ,23,13,Ремни поликлиновые,1,17,Ролики навесного оборудования,5,11,Термостаты,4,3,Детали системы охлаждения (остальное),0,6,Ремни клиновые,0,6,Детали топливной системы (остальное),0,3,Ролики ГРМ,1,2,РТИ системы охлаждения,0
8,5,16,Масла (остальное),3,13,Метизы,2,9,Рычаги,4,5,Цепи / звездочки / натяжители,2,6,Жидкость для АКПП 1 литр,4,4,Сальники двигателя,1,7,Сайлентблоки,6,2,Стойки стабилизатора,5,2,Втулки,2,5,Опора стойки / подшипник подвески,0
9,35,143,Пружины и рессоры,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
